referrer,sub3,goal
betcredit.ru,['15500'],1
bistro-zaym.ru,['19934'],292
bistrycredit.ru,['156414'],1
bkl1sg.site,['138547'],3
botzaimet.top,['63441'],3
boxberry.ru,['539733'],1
brobank.ru,['23038'],19
buryatka-sayana-zaim.ru,['130967'],66
bystryizaim.aqulas.me,['71368'],5
bzaim5.ru,['1517'],1
c2.poluchit-zaem.ru,['153590'],2
c5.poluchit-zaem.ru,['153590'],1
capitan.money,['45551'],16
cash-na-cartu.ru,['13'],3
cash-online.ru,['4779'],1
cash-v-dolg.ru,['13'],14
cash.1t-f.ru,['13'],114
cash.gdfm.ru,['13'],21
cash.gf-m.ru,['13'],53
cash.gf-media.ru,['13'],6
cash.r-tb.ru,['13'],2
cash.rt6.ru,['13'],2
casharing.club,['1055604'],105
cashbanan.ru,['666'],2
cashdaddy.ru,['17'],24
cashlux.ru,['174'],7677
cashopon.ru,['17316'],1
cashto-u.ru,['13'],1
cba106102.ru,['654'],1
chelyabinsk.bankiros.ru,[''],1
click-credit.com,['47493'],33
click.mail.ru,['34349' '147888' '172171' '25265' '159737' '17'],47
cmtrckr.net,['173'],1
coinfull.ru,['13'],1
com.google.android.gm,['17' 'c048c550-17b1-4c80-a3bc-247fbd2d539e'],5
com.google.android.googlequicksearchbox,['' '163193' '172207' '65'],5
couponkodi.com,['44143'],3
crdts.ru,['45551'],132
credistory.ru,[''],191
credit-10.com,['50409'],1
credit-do.ru,['135211'],2
creditbus.ru,[''],1
credithub.twintwoo.ai,"['7c9b0059-f41c-4d72-bdc5-6038c8a339ef'
 'dc770ac9-d481-4027-9c05-e78cc0d4a211'
 '50889c06-409d-401f-ae53-9edf4a418d57']",210
creditom.ru,['1452433'],23
creditomat24.ru,['166664' '66247'],501
creditonlinetop.ru,['27930'],5
credits--on--line-ru.turbopages.org,['1501'],1
creditznatok.ru,['2703'],6
crt.leadcraft.ru,"['f8bd7383-ec56-44da-b7f2-d7c21da904c8'
 'fd7c9cb9-a691-4af1-8421-0e7955283937'
 'c050f7df-de6b-4f71-8dee-d7880904310e'
 '13b594cf-e351-441e-adfb-1e49a1fd70ac']",26
cv7.pw,['51570'],9
d4.poluchit-zaem.ru,['153590'],1
d6.poluchit-zaem.ru,['153590'],1
daemvzaymi.ru,['1081304'],1
daemzaimy.ru,['153214'],2
dengi-m.tb.ru,['144779'],2
dengi-onlain-m.tb.ru,['144779'],3
dengi-rf.ru,['174'],8
dengi-sro4no.ru,['156562' ''],365
dengi-v-zaimi24.online,['53116'],3
dengi-vzaem24.online,['53116'],1
dengi-vzaym.ru,['173982'],1
dengi-vzaymi.online,['53116'],1
dengi-vzaymi.ru,['53116'],2
dengi.rt-6.ru,['13'],5
dengivzaim.pp.ru,['26335'],1
dengomir.ru,['1517'],2
dengy-ludyam.ru,['78053'],3
dohods.ru,['16'],12
dolgozaim.ru,['142813'],33
dom-bankir.ru,['153214'],5
domzaymo.ru,['138840'],440
e-finmarket.ru,['5647' '159977'],390
e1.poluchit-zaem.ru,['153590'],3
e5.poluchit-zaem.ru,['153590'],1
ecap20.dengizaimvsem.ru,['153590'],1
eco.vkcredits.ru,['9'],3
ecp11.dengizaimvsem.ru,['77243'],1
ecp4.dengizaimvsem.ru,['77243'],1
ecp7.dengizaimvsem.ru,['77243'],1
ekapusta.com,['31447'],961
ekaterinburg.1000bankov.ru,['6578'],1
ekaterinburg.bankiros.ru,[''],1
electrozaim.ru,['8'],23
epiczaim.ru,['130779'],4
esta1.dengizaimvsem.ru,['77243'],1
evrej-finans.ru,['168022'],11
express-cash.online,['75283'],1
expresszaem24.ru,['22199'],1
f3.poluchit-zaem.ru,['153590'],2
f5.poluchit-zaem.ru,['153590'],1
f8.poluchit-zaem.ru,['153590'],2
fin-loan.com,['25251' '21887' '59599' '21627' '43231'],14
fin-market.com.ru,['34349'],16
financehub.su,['119874'],1
financelife.ru,['206454'],1
findozor.net,['51010'],10
finkontrol.com,['29859'],1
finkot.ru,['156562'],32
finkrsk.ru,['24102'],1
finmart24.ru,['10743'],1
finserviz.ru,['156562' ''],23
finspin.ru,['77550'],12
finuslugi.ru,[''],23
free-dengi.ru,['77'],3
free-zaym.ru,['27805'],1
frombanks.ru,['21785'],2
gdezaim.ru,['6578'],6
getmicrozaim.ru,['153214'],1
gl.guruleads.ru,['16' '2764' '7044' '2024' '1506'],5
glav-zaim.ru,['16'],4
go-mfo.ru,['46928'],12
go.cityclub.finance,"['KOxoXr' '4QCp' '5eDh' '3xlW' 'B1z' '9L5' 'wjLWJJ' 'MjvkvA' '8qL0M2'
 'vg1q4M' '4F71' '4QsT' 'JZwM8D' 'X6K4OA' 'r04lMw' '76KGrr' 'WnNvEW'
 '98MwvD' 'j24MPR']",330
go.mail.ru,['75490'],1
godzaim.ru,['14'],1
goo.su,['1365439' '172171' '14205'],11
goodmoney.online,['166301'],123
goodzaim.online,['77181'],1
gustacredit.ru,['17'],16
gustozaimy.ru,['16109'],6
hehelp.ru,['8'],15
helpzaim.ru,['25'],60
hold-zaim.com,['816'],62
http://away.vk.com/,['129922' '8' '45551'],17
http://creditomat24.ru/,['66247'],5
http://ldtgt.ru/,['794' '993'],2
http://prosto-zaimi.ru/,[''],2
http://prosto-zaimi.ru/6759tw7w/3415,[''],1
http://yandex.ru/searchapp?text=,['75490'],1
https://1-zaim.ru/,['45551'],5
https://1-zaim.ru/lander/kartacredit/?source=ryabina&affiliate_id=td&wm_id=&ad_id=&campaign_id=%7Bc_id%7D&keyword=&sub2=smsid286&sub3=&gclid=%7Bgclid%7D&yclid=%7Byclid%7D&sub4=6772760&sub6=&sub7=&sub8=&sub9=&sub10=&sub11=&sub12=sms&sub13=api&clickid=%7Bclick_id%7D,['45551'],1
https://1-zaim.ru/lander/zanimay/?source=Ruszaimrazvitie&affiliate_id=leadstech_cpa&wm_id=157&ad_id=&campaign_id={c_id}&keyword=&sub2=smsid3054&sub3=157&gclid=%7Bgclid%7D&yclid=%7Byclid%7D&sub4=1092224&sub6=&sub7=&sub8=&sub9=&sub10=&sub11=&sub12=sms&sub13=&clickid={click_id},['45551'],2
https://101-zaim-online.ru/,['28054'],1
https://1zmr.ru/lander/limezaim/,['45551'],1
https://apollon-zaym.ru/,['3507'],2
https://away.vk.com/,"['cf357a48-d500-4fb4-bdad-5e76c822c788' '154904' '52519' '146064' '1642'
 '156213' '141099' '137191' '150965' '167491' '37867' '127244']",16
https://bankiros.ru/,[''],11
https://bankivse.fun/grec,['66488'],1
https://banksinfo.fun/,['25634' '645'],3
https://berizaimbistro.com/,['816'],1
https://best-online-zaymi-ru.ru/,['161515'],1
https://bistro-zaym.ru/,['19934'],1
https://boxberry.ru/,['539733'],1
https://capitan.money/,['45551'],1
https://capitan.money/offers/,['45551'],1
https://cash.1t-f.ru/,['13'],1
https://cash.1t-f.ru/index/?sub2=cash1t-f6&sub3=%2079222195054&sub4=trigger_4_context_hourly_final--2022-02-03_13.response.csv&sub5=375&sub6=2&sub7=398&sub8=9&sub9=383&clientUuid=3039a3e3a210466c87968429949d7d1a,['13'],1
https://cash.gf-m.ru/,['13'],2
https://cash.r-tb.ru/index/?sub2=cashr-tb&sub3=%2079041903890&sub4=trigger_3_daily_final--2022-01-07.response.csv&sub5=375&sub6=2&sub7=401&sub8=3&sub9=383&clientUuid=,['13'],1
https://casharing.club/shop/go/1825,['1055604'],3
https://cashlux.ru/,['174'],85
https://cashlux.ru/?cid=juet077rpjrxcebswdl3fai8k3h5ozi5&user=965,['174'],1
https://cashlux.ru/?cid=kpmta147juf65bqv0w3jkv8iqcvrnrik&user=965,['174'],1
https://cashlux.ru/?cid=niveqid2iba3ygelkhwq4sprpt2brjbu&user=965,['174'],1
https://cashlux.ru/?cid=s0qk7cxxt6xxp1233w9qk8p9tznibx8p&user=965,['174'],1
https://cashlux.ru/?cid=tmtrugm1kffhhjimpbtmlhmvdwbs3gzh&user=965,['174'],1
https://cashlux.ru/black/?cid=7aj6yej7k9ffgkgpdcbrsyqmvzwq6234&user=15,['174'],1
https://cashlux.ru/black/?cid=8lsqy3b2tq3vs21vlf865uv6vrr61h00&user=15,['174'],1
https://cashlux.ru/new/bigdata1/?count=25&comb=1&cid=0mgbi8988vmay6mtjny4wu4ptxl1ztbu&user=18&del1=1618&del2=53&del3=517&del4=91&del5=28&del6=1615&del7=1616&del8=1423&del9=281&del10=269&del11=1656&del12=270&del13=230&del14=1097&del15=1485&del16=58&del17=304&del18=1731&del19=264&del20=1628&del21=&del22=&del23=&del24=&del25=&del97=21fe07&del98=37167f4b8b314de8dac02f402ece8dc9&del99=313202148514314778953612,['174'],1
https://cashlux.ru/new/bigdata1/?count=25&comb=1&cid=1zoqrn5pab8yngebwuznj7fxrq7kxlvo&user=1160&del1=1618&del2=53&del3=517&del4=91&del5=28&del6=1615&del7=1616&del8=1423&del9=281&del10=269&del11=1656&del12=270&del13=230&del14=1097&del15=1485&del16=58&del17=304&del18=264&del19=1628&del20=66&del21=&del22=&del23=&del24=&del25=&del97=9dc3d0&del98=18b33c107f36dd707126f256a3cd6501&del99=3113134758241566094212,['174'],1
